2019/10/12 15:08:29.665 c.springboot.test.shiro.Application [] INFO  Starting Application on C3410965 with PID 13732 (C:\Users\Ethan\study\shiro\spring-boot-shiro-2\target\classes started by Zeno in C:\Users\Ethan\study\shiro\spring-boot-shiro-2)
2019/10/12 15:08:29.667 c.springboot.test.shiro.Application [] INFO  No active profile set, falling back to default profiles: default
2019/10/12 15:08:29.831 o.h.validator.internal.util.Version [] INFO  HV000001: Hibernate Validator 5.3.5.Final
2019/10/12 15:08:29.893 o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext [] INFO  Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@4690b489: startup date [Sat Oct 12 15:08:29 CST 2019]; root of context hierarchy
2019/10/12 15:08:30.613 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'shiroConfig' of type [com.springboot.test.shiro.config.ShiroConfig$$EnhancerBySpringCGLIB$$f7364b61] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/10/12 15:08:30.785 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties' of type [org.mybatis.spring.boot.autoconfigure.MybatisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/10/12 15:08:30.794 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration' of type [org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration$$EnhancerBySpringCGLIB$$9d78cc0e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/10/12 15:08:30.799 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'dataSourceConfig' of type [com.springboot.test.shiro.config.DataSourceConfig$$EnhancerBySpringCGLIB$$b8ccfddf] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/10/12 15:09:07.543 c.a.druid.pool.DruidDataSource [] INFO  {dataSource-1} inited
2019/10/12 15:09:07.544 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'dataSource' of type [com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/10/12 15:09:07.699 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'sqlSessionFactory' of type [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/10/12 15:09:07.705 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'sqlSessionTemplate' of type [org.mybatis.spring.SqlSessionTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/10/12 15:09:07.705 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'userMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/10/12 15:09:07.707 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'userMapper' of type [com.sun.proxy.$Proxy54] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/10/12 15:09:07.709 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'roleMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/10/12 15:09:07.709 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'roleMapper' of type [com.sun.proxy.$Proxy55] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/10/12 15:09:07.711 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'permissionMapper' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/10/12 15:09:07.712 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'permissionMapper' of type [com.sun.proxy.$Proxy56] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/10/12 15:09:07.712 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'shiroRealm' of type [com.springboot.test.shiro.config.shiro.ShiroRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/10/12 15:09:08.110 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/10/12 15:09:08.156 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/10/12 15:09:08.170 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$6aa47ade] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/10/12 15:09:08.440 o.s.b.c.e.t.TomcatEmbeddedServletContainer [] INFO  Tomcat initialized with port(s): 9090 (http)
2019/10/12 15:09:08.447 o.a.catalina.core.StandardService [] INFO  Starting service [Tomcat]
2019/10/12 15:09:08.449 o.a.catalina.core.StandardEngine [] INFO  Starting Servlet Engine: Apache Tomcat/8.5.16
2019/10/12 15:09:08.519 o.a.c.c.C.[Tomcat].[localhost].[/] [] INFO  Initializing Spring embedded WebApplicationContext
2019/10/12 15:09:08.519 o.s.web.context.ContextLoader [] INFO  Root WebApplicationContext: initialization completed in 38627 ms
2019/10/12 15:09:08.667 o.s.b.w.s.ServletRegistrationBean [] INFO  Mapping servlet: 'dispatcherServlet' to [/]
2019/10/12 15:09:08.670 o.s.b.w.s.FilterRegistrationBean [] INFO  Mapping filter: 'characterEncodingFilter' to: [/*]
2019/10/12 15:09:08.670 o.s.b.w.s.FilterRegistrationBean [] INFO  Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2019/10/12 15:09:08.670 o.s.b.w.s.FilterRegistrationBean [] INFO  Mapping filter: 'httpPutFormContentFilter' to: [/*]
2019/10/12 15:09:08.671 o.s.b.w.s.FilterRegistrationBean [] INFO  Mapping filter: 'requestContextFilter' to: [/*]
2019/10/12 15:09:08.672 o.s.b.w.s.FilterRegistrationBean [] INFO  Mapping filter: 'shirFilter' to: [/*]
2019/10/12 15:09:09.080 o.s.w.s.m.m.a.RequestMappingHandlerAdapter [] INFO  Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@4690b489: startup date [Sat Oct 12 15:08:29 CST 2019]; root of context hierarchy
2019/10/12 15:09:09.139 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/index]}" onto public java.lang.String com.springboot.test.shiro.modules.login.LoginController.index(javax.servlet.http.HttpSession,org.springframework.ui.Model)
2019/10/12 15:09:09.140 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/],methods=[GET]}" onto public java.lang.String com.springboot.test.shiro.modules.login.LoginController.root(org.springframework.ui.Model)
2019/10/12 15:09:09.140 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/unauthorized]}" onto public java.lang.String com.springboot.test.shiro.modules.login.LoginController.unauthorized(javax.servlet.http.HttpSession,org.springframework.ui.Model)
2019/10/12 15:09:09.140 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/login],methods=[GET]}" onto public java.lang.String com.springboot.test.shiro.modules.login.LoginController.login(org.springframework.ui.Model)
2019/10/12 15:09:09.141 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/logout]}" onto public java.lang.String com.springboot.test.shiro.modules.login.LoginController.logout(javax.servlet.http.HttpSession,org.springframework.ui.Model)
2019/10/12 15:09:09.141 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/login],methods=[POST]}" onto public java.lang.String com.springboot.test.shiro.modules.login.LoginController.loginUser(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String,org.springframework.ui.Model,javax.servlet.http.HttpSession)
2019/10/12 15:09:09.143 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/userInfo/view],methods=[GET]}" onto public java.lang.String com.springboot.test.shiro.modules.login.UserController.view(org.springframework.ui.Model)
2019/10/12 15:09:09.143 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/userInfo/add],methods=[GET]}" onto public java.lang.String com.springboot.test.shiro.modules.login.UserController.login(org.springframework.ui.Model)
2019/10/12 15:09:09.143 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/userInfo/del],methods=[GET]}" onto public java.lang.String com.springboot.test.shiro.modules.login.UserController.del(org.springframework.ui.Model)
2019/10/12 15:09:09.146 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2019/10/12 15:09:09.146 o.s.w.s.m.m.a.RequestMappingHandlerMapping [] INFO  Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019/10/12 15:09:09.189 o.s.w.s.h.SimpleUrlHandlerMapping [] INFO  Mapped URL path [/static/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019/10/12 15:09:09.189 o.s.w.s.h.SimpleUrlHandlerMapping [] INFO  Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019/10/12 15:09:09.189 o.s.w.s.h.SimpleUrlHandlerMapping [] INFO  Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019/10/12 15:09:09.232 o.s.w.s.h.SimpleUrlHandlerMapping [] INFO  Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019/10/12 15:09:09.769 o.s.j.e.a.AnnotationMBeanExporter [] INFO  Registering beans for JMX exposure on startup
2019/10/12 15:09:09.770 o.s.j.e.a.AnnotationMBeanExporter [] INFO  Bean with name 'dataSource' has been autodetected for JMX exposure
2019/10/12 15:09:09.774 o.s.j.e.a.AnnotationMBeanExporter [] INFO  Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
2019/10/12 15:09:09.787 o.a.coyote.http11.Http11NioProtocol [] INFO  Initializing ProtocolHandler ["http-nio-9090"]
2019/10/12 15:09:09.793 o.a.coyote.http11.Http11NioProtocol [] INFO  Starting ProtocolHandler ["http-nio-9090"]
2019/10/12 15:09:09.802 o.a.tomcat.util.net.NioSelectorPool [] INFO  Using a shared selector for servlet write/read
2019/10/12 15:09:09.815 o.s.b.c.e.t.TomcatEmbeddedServletContainer [] INFO  Tomcat started on port(s): 9090 (http)
2019/10/12 15:09:09.818 c.springboot.test.shiro.Application [] INFO  Started Application in 40.549 seconds (JVM running for 41.646)
2019/10/12 15:14:31.506 o.a.c.c.C.[Tomcat].[localhost].[/] [] INFO  Initializing Spring FrameworkServlet 'dispatcherServlet'
